Job ID $ Task index within the job, Start time (micro second), Finish time (micro second), Duration (micro second), Priority 
6251532251$262,0,1852419247,1852419247,2
6251532251$260,0,1751388545,1751388545,2
6251532251$261,0,1814657672,1814657672,2
6251951306$321,4367038195,4562647102,195608907,2
6251951306$320,4367038181,4590796179,223757998,2
6251951306$322,4367038209,4579999090,212960881,2
6251951306$325,4367038251,4577668555,210630304,2
6251951306$324,4367038237,4616713909,249675672,2
6251951306$327,4367038279,4570390521,203352242,2
6251951306$326,4367038265,4640274663,273236398,2
6251951306$329,4367038307,4579999136,212960829,2
6251951306$328,4367038293,4561926846,194888553,2
6251938667$160,4207124433,4356415379,149290946,0
6251779174$166,2102275524,2589982699,487707175,2
6251882848$111,3239652664,3482863778,243211114,2
6251779174$164,2102275496,2545811439,443535943,2
6251779174$165,2102275510,2581182164,478906654,2
6251779174$162,2102275468,2546786900,444511432,2
6251779174$163,2102275482,2582004014,479728532,2
6251779174$160,2102275440,2552938825,450663385,2
6251779174$161,2102275454,2546785820,444510366,2
6251882848$118,3239652762,3475153881,235501119,2
6251882848$119,3239652776,3463526421,223873645,2
6251795690$578,2151673477,2632800953,481127476,2
6251795690$579,2151673491,2690204815,538531324,2
6251779174$168,2102275552,2582809511,480533959,2
6251779174$169,2102275567,2548502194,446226627,2
6251938667$166,4207124560,4334416028,127291468,0
6251849958$736,2640767497,2830655163,189887666,2
6251849958$734,2640767469,2831552864,190785395,2
6251849958$733,2640767448,2985968822,345201374,2
6251849958$732,2640767410,2796439168,155671758,2
6250505806$399,0,3327183646,3327183646,2
6250505806$398,0,646637162,646637162,2
6250505806$397,0,1911753384,1911753384,2
6250505806$395,0,2893299286,2893299286,2
6250505806$394,0,3903144404,3903144404,2
6250505806$391,0,2853630890,2853630890,2
6250505806$390,0,3065239139,3065239139,2
6251899333$353,3527455095,3729098103,201643008,2
6251899333$352,3527455081,3735691501,208236420,2
6251899333$351,3527455067,3691077996,163622929,2
6251899333$357,3527455151,3704302347,176847196,2
6251899333$356,3527455137,3767463539,240008402,2
6251899333$355,3527455123,3696459378,169004255,2
6251899333$354,3527455109,3729843708,202388599,2
6251899333$359,3527455179,3700650533,173195354,2
6251899333$358,3527455165,3689608604,162153439,2
6251904229$791,3551560887,4074388784,522827897,2
6251892565$618,3413246431,4027590036,614343605,2
6251892565$614,3413246345,4026812485,613566140,2
6251892565$615,3413246359,3998785880,585539521,2
6251892565$616,3413246373,3996063573,582817200,2
6251892565$617,3413246405,4013922595,600676190,2
6251892565$610,3413246289,4034373708,621127419,2
6251892565$611,3413246303,4083381362,670135059,2
6251892565$612,3413246317,4073175053,659928736,2
6251892565$613,3413246331,4112881626,699635295,2
6251674199$92,763189521,937760482,174570961,2
6251674199$93,763189535,930859697,167670162,2
6251674199$96,763189577,937760379,174570802,2
6251674199$97,763189591,918536785,155347194,2
6251674199$95,763189563,927181645,163992082,2
6251750221$0,1636644336,1666676145,30031809,2
6251784940$475,2140229251,2516923959,376694708,2
6251812952$1578,2240263837,5149465662,2909201825,2
6251812952$1573,2229684461,4962216470,2732532009,2
6251812952$1572,2238941010,5134564278,2895623268,2
6251812952$1571,2237733377,5090480308,2852746931,2
6251812952$1570,2225921444,5120903501,2894982057,2
6251812952$1577,2229685556,4954423406,2724737850,2
6251812952$1575,2235281679,5110091181,2874809502,2
6251812952$1574,2237734159,5213615031,2975880872,2
6251866953$423,2852990885,3090758905,237768020,2
6251866953$422,2852990871,3017358566,164367695,2
6251866953$421,2852990857,2997255247,144264390,2
6251866953$420,2852990843,3029067596,176076753,2
6251866953$427,2852990941,3011963167,158972226,2
6251866953$426,2852990927,3041725640,188734713,2
6251866953$425,2852990913,2997255281,144264368,2
6251866953$424,2852990899,3019191758,166200859,2
6251866953$429,2852990969,3011962558,158971589,2
6251866953$428,2852990955,3081836724,228845769,2
6251849958$143,2640758726,2860460024,219701298,2
6251754480$283,1601643515,1730509895,128866380,2
6251754480$280,1601643435,1741977690,140334255,2
6251754480$281,1601643464,1734479274,132835810,2
6251754480$286,1601643588,1737343953,135700365,2
6251754480$287,1601643610,1750649306,149005696,2
6251537638$626,0,610633578,610633578,2
6251784940$72,2140223382,2494627648,354404266,2
6251784940$73,2140223396,2538253376,398029980,2
6251784940$70,2140223354,2488016153,347792799,2
6251784940$71,2140223368,2493717019,353493651,2
6251784940$76,2140223445,2536533119,396309674,2
6251784940$77,2140223462,2537400517,397177055,2
6251784940$74,2140223410,2533921831,393698421,2
6251784940$75,2140223424,2546786474,406563050,2
6251784940$78,2140223476,2498555387,358331911,2
6251784940$79,2140223490,2498554921,358331431,2
6251726235$591,1442206964,3139653739,1697446775,2
6251726235$590,1442206950,3066798586,1624591636,2
6251726235$595,1442207037,3074754832,1632547795,2
6251726235$594,1442207019,3072413617,1630206598,2
6251726235$597,1442207065,3100549983,1658342918,2
6251726235$596,1442207051,3100549133,1658342082,2
6251969145$864,4841053156,5358151875,517098719,2
6251969145$861,4841053114,5358151826,517098712,2
6251969145$863,4841053142,5354787462,513734320,2
6251969145$869,4841053226,5368414156,527360930,2
6251882848$110,3239652650,3445594377,205941727,2
6251882848$112,3239652678,3486386856,246734178,2
6251795690$571,2151673379,2695906838,544233459,2
6251882848$114,3239652706,3519613226,279960520,2
6251795690$577,2151673463,2625749550,474076087,2
6251882848$116,3239652734,3448561341,208908607,2
6251882848$117,3239652748,3465760552,226107804,2
6251803864$1928,2178769470,2850617567,671848097,2
6251803864$1920,2178769318,3027316065,848546747,2
6251803864$1921,2178769357,2889403600,710634243,2
6251803864$1922,2178769377,3052391503,873622126,2
6251803864$1923,2178769391,3125694397,946925006,2
6251803864$1926,2178769442,2933156350,754386908,2
6251803864$1927,2178769456,3019988955,841219499,2
6251899333$55,3527450748,3687333710,159882962,2
6251899333$54,3527450734,3710589670,183138936,2
6251899333$57,3527450778,3793022596,265571818,2
6251899333$56,3527450762,3727320343,199869581,2
6251899333$51,3527450692,3690345990,162895298,2
6251899333$50,3527450678,3795241194,267790516,2
6251899333$53,3527450720,3709274712,181823992,2
6251899333$52,3527450706,3734976869,207526163,2
6251899333$59,3527450806,3750005716,222554910,2
6251899333$58,3527450792,3689608830,162158038,2
6251688639$2,885952704,1096113260,210160556,2
6251725155$99,1442183445,1808656863,366473418,2
6251725155$98,1442183431,1813957686,371774255,2
6251725155$95,1442183388,1819094276,376910888,2
6251725155$94,1442183374,1811512519,369329145,2
6251725155$97,1442183416,1819094565,376911149,2
6251725155$96,1442183402,1810705980,368522578,2
6251725155$91,1442183332,1811511760,369328428,2
6251725155$93,1442183360,2034302359,592118999,2
6251725155$92,1442183346,1812346094,370162748,2
6250505806$211,0,780924028,780924028,2
6250505806$216,0,3872811091,3872811091,2
6250505806$215,0,2395858378,2395858378,2
6251765262$176,1717260672,2102971820,385711148,0
6251765262$177,1717260692,2173377115,456116423,0
6251765262$175,1717260652,2077687053,360426401,0
6251765262$172,1717260591,2130612267,413351676,0
6251765262$173,1717260612,2197150928,479890316,0
6251974185$118,4853925953,5391106954,537181001,2
6251974185$119,4853925967,5412007946,558081979,2
6251974185$116,4853925925,5367624432,513698507,2
6251974185$117,4853925939,5428195615,574269676,2
6251974185$114,4853925896,5367623818,513697922,2
6251974185$115,4853925911,5387127172,533201261,2
6251974185$112,4853925868,5363991314,510065446,2
6251974185$110,4853925839,5367624568,513698729,2
6251974185$111,4853925853,5375939754,522013901,2
6251899333$256,3527453584,3686626436,159172852,2
6251899333$257,3527453598,3709274731,181821133,2
6251899333$254,3527453556,3683895284,156441728,2
6251899333$255,3527453570,3685965830,158512260,2
6251899333$252,3527453528,3730593202,203139674,2
6251899333$253,3527453542,3678279464,150825922,2
6251899333$250,3527453500,3688109934,160656434,2
6251899333$251,3527453514,3686626745,159173231,2
6251899333$258,3527453612,3686626600,159172988,2
6251899333$259,3527453656,3675523744,148070088,2
6251876988$0,3067503924,3238873372,171369448,1
6251812952$869,2235282400,5337712276,3102429876,2
6251812952$868,2243857907,4852069023,2608211116,2
6251812952$865,2238940051,4833190519,2594250468,2
6251812952$864,2240265834,4865931018,2625665184,2
6251812952$867,2220843859,4854849817,2634005958,2
6251812952$866,2234091557,5344525764,3110434207,2
6251812952$861,2240265709,4841653393,2601387684,2
6251812952$860,2240263494,5162984043,2922720549,2
6251812952$863,2226909307,5239368416,3012459109,2
6251812952$862,2231825934,4876666012,2644840078,2
6251726235$238,1442201426,3146367321,1704165895,2
6250505806$179,0,3990491174,3990491174,2
6251726235$231,1442201304,3109910523,1667709219,2
6251860459$198,2789555675,2947812726,158257051,2
6251860459$192,2789555591,2980866228,191310637,2
6251860459$193,2789555605,2959978915,170423310,2
6251860459$190,2789555563,2993384486,203828923,2
6251860459$191,2789555577,2958299834,168744257,2
6251860459$196,2789555647,2963521265,173965618,2
6251860459$197,2789555661,2945436498,155880837,2
6251860459$194,2789555619,2950067916,160512297,2
6251860459$195,2789555633,2938223310,148667677,2
6250505806$171,0,2810543183,2810543183,2
6251687275$869,872256620,1336429414,464172794,2
6251687275$868,872256606,1329840753,457584147,2
6251687275$863,872256534,1333160207,460903673,2
6251687275$862,872256520,1341102035,468845515,2
6251687275$861,872256506,1662331043,790074537,2
6251687275$860,872256492,1332372826,460116334,2
6251687275$867,872256590,1329840722,457584132,2
6251687275$866,872256576,1328508409,456251833,2
6251687275$865,872256562,1332373175,460116613,2
6251687275$864,872256548,1359303617,487047069,2
6251640760$823,0,728155990,728155990,2
6251640760$826,0,761604363,761604363,2
6251941721$813,4225981202,4349178597,123197395,2
6251941721$812,4225981188,4352519003,126537815,2
6251941721$811,4225981174,4352519053,126537879,2
6251941721$810,4225981160,4349178454,123197294,2
6251941721$817,4225981270,4349991725,124010455,2
6251941721$815,4225981230,4407181175,181199945,2
6251941721$814,4225981216,4356415319,130434103,2
6251941721$819,4225981315,4354299908,128318593,2
6251969145$136,4841042567,5357334114,516291547,2
6251882848$702,3239661665,3440067588,200405923,2
6251882848$707,3239661735,3472927946,233266211,2
6251969145$131,4841042497,5355630203,514587706,2
6251974185$16,4853924506,5360791785,506867279,2
6251674199$507,763195965,941308099,178112134,2
6251674199$506,763195951,953200037,190004086,2
6251674199$505,763195937,920422646,157226709,2
6251674199$504,763195923,918536798,155340875,2
6251674199$503,763195909,924891726,161695817,2
6251674199$502,763195895,963723183,200527288,2
6251674199$501,763195881,946652993,183457112,2
6251674199$509,763195993,936116848,172920855,2
6251674199$508,763195979,948922711,185726732,2
6251687275$93,872244428,1338552716,466308288,2
6251687275$92,872244414,1332373841,460129427,2
6251672941$179,760953063,972490884,211537821,2
6251672941$178,760953043,988037804,227084761,2
6251687275$97,872244484,1362099294,489854810,2
6251687275$96,872244470,1344278271,472033801,2
6251687275$95,872244456,1330774559,458530103,2
6251687275$94,872244442,1540157841,667913399,2
6251687275$99,872244512,1371898029,499653517,2
6251672941$177,760953023,976015681,215062658,2
6251672941$176,760953003,988800718,227847715,2
6251672941$174,760952963,976016290,215063327,2
6251754480$321,1601644310,1744714717,143070407,2
6251754480$320,1601644294,1723636718,121992424,2
6251754480$323,1601644342,1736360383,134716041,2
6251754480$322,1601644326,1721925249,120280923,2
6251754480$325,1601644374,1723636611,121992237,2
6251754480$324,1601644358,1722774936,121130578,2
6251754480$327,1601644406,1725418781,123774375,2
6251754480$326,1601644390,1723636619,121992229,2
6251754480$328,1601644440,1721925083,120280643,2
6251712256$768,1373720310,1735328993,361608683,2
6251712256$769,1373720324,1731479091,357758767,2
6251712256$760,1373720186,1734478019,360757833,2
6251712256$762,1373720226,1741978050,368257824,2
6251712256$763,1373720240,1751387886,377667646,2
6251712256$764,1373720254,1724558869,350838615,2
6251712256$765,1373720268,1743934170,370213902,2
6251712256$766,1373720282,1724559311,350839029,2
6251712256$767,1373720296,1743147969,369427673,2
6251726235$418,1442204268,3076473684,1634269416,2
6251726235$419,1442204282,3147521214,1705316932,2
6251803864$832,2178752140,3142553476,963801336,2
6251803864$833,2178752194,2929045839,750293645,2
